timestamp,count
2018-01-15,813122
2018-01-22,813715
2018-01-29,812081
2018-02-05,908570
2018-02-12,865569
2018-02-19,842526
2018-02-26,882516
2018-03-05,862497
2018-03-12,815936
2018-03-19,897423
2018-03-26,914156
2018-04-02,977102
2018-04-09,933477
2018-04-16,977162
2018-04-23,854941
2018-04-30,739320
2018-05-07,789427
2018-05-14,834008
2018-05-21,839723
2018-05-28,805089
2018-06-04,787699
2018-06-11,809144
2018-06-18,768427
2018-06-25,801932
2018-07-02,849870
2018-07-09,845462
2018-07-16,864069
2018-07-23,842068
2018-07-30,766238
2018-08-06,780604
2018-08-13,789475
2018-08-20,732435
2018-08-27,810392
2018-09-03,737533
2018-09-10,811899
2018-09-17,759334
2018-09-24,792503
2018-10-01,947395
2018-10-08,905217
2018-10-15,869003
2018-10-22,864504
2018-10-29,925509
2018-11-05,837949
2018-11-12,1031234
2018-11-19,771683
2018-11-26,744651
2018-12-03,764247
2018-12-10,763437
2018-12-17,695889
2018-12-24,708003
2018-12-31,660307
2019-01-07,715667
2019-01-14,756232
2019-01-21,780713
2019-01-28,795041
2019-02-04,720693
2019-02-11,733230
2019-02-18,768875
2019-02-25,746243
2019-03-04,763259
2019-03-11,752468
