timestamp,decade_1830,decade_1840,decade_1850,decade_1860,decade_1870,decade_1880,decade_1890,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2010,decade_2020,decade_2030
2014-03-03,0.0,4.0,1.0,7.0,4.0,3.0,3.0,6.0,70.0,77.0,56.0,158.0,167.0,160.0,193.0,229.0,2.0,1.0,2.0
2014-03-10,2.0,0.0,7.0,3.0,1.0,8.0,4.0,1.0,96.0,102.0,64.0,152.0,170.0,206.0,220.0,266.0,5.0,9.0,4.0
2014-03-17,2.0,4.0,6.0,6.0,5.0,2.0,1.0,4.0,70.0,75.0,48.0,157.0,114.0,141.0,173.0,287.0,11.0,3.0,0.0
2014-03-24,2.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,84.0,78.0,63.0,134.0,135.0,168.0,191.0,243.0,5.0,6.0,2.0
2014-03-31,1.0,2.0,4.0,3.0,6.0,2.0,3.0,1.0,72.0,82.0,49.0,130.0,135.0,165.0,166.0,215.0,5.0,2.0,0.0
2014-04-07,2.0,3.0,4.0,3.0,0.0,5.0,5.0,7.0,76.0,55.0,47.0,141.0,145.0,146.0,201.0,229.0,3.0,6.0,0.0
2014-04-14,5.0,4.0,3.0,1.0,21.0,11.0,12.0,2.0,60.0,55.0,51.0,144.0,168.0,166.0,205.0,235.0,4.0,4.0,0.0
2014-04-21,1.0,3.0,5.0,2.0,4.0,2.0,6.0,1.0,67.0,69.0,53.0,158.0,137.0,158.0,165.0,214.0,8.0,6.0,6.0
2014-04-28,3.0,2.0,1.0,4.0,7.0,7.0,7.0,4.0,70.0,72.0,64.0,132.0,152.0,176.0,186.0,220.0,5.0,1.0,1.0
2014-05-05,3.0,4.0,6.0,4.0,1.0,4.0,5.0,2.0,81.0,79.0,66.0,150.0,165.0,156.0,272.0,324.0,14.0,5.0,2.0
2014-05-12,0.0,0.0,6.0,5.0,1.0,5.0,4.0,4.0,80.0,74.0,53.0,104.0,137.0,144.0,162.0,227.0,7.0,5.0,1.0
2014-05-19,3.0,6.0,3.0,6.0,1.0,5.0,5.0,4.0,62.0,72.0,37.0,112.0,150.0,152.0,168.0,218.0,2.0,6.0,3.0
2014-05-26,2.0,1.0,2.0,2.0,2.0,4.0,8.0,4.0,90.0,77.0,53.0,110.0,140.0,132.0,157.0,189.0,0.0,0.0,0.0
2014-06-02,0.0,1.0,7.0,2.0,0.0,4.0,4.0,2.0,62.0,64.0,45.0,128.0,136.0,116.0,167.0,234.0,3.0,1.0,3.0
2014-06-09,2.0,1.0,4.0,2.0,0.0,5.0,8.0,2.0,55.0,70.0,30.0,122.0,123.0,135.0,152.0,155.0,4.0,0.0,1.0
2014-06-16,2.0,2.0,4.0,3.0,3.0,2.0,6.0,1.0,64.0,69.0,55.0,110.0,112.0,118.0,192.0,239.0,6.0,5.0,1.0
2014-06-23,1.0,1.0,3.0,0.0,1.0,12.0,10.0,5.0,74.0,54.0,60.0,152.0,162.0,136.0,166.0,235.0,11.0,0.0,4.0
2014-06-30,0.0,1.0,3.0,1.0,7.0,6.0,6.0,3.0,80.0,73.0,56.0,100.0,137.0,144.0,194.0,209.0,4.0,3.0,2.0
2014-07-07,1.0,1.0,3.0,4.0,2.0,3.0,11.0,1.0,79.0,59.0,49.0,133.0,150.0,137.0,174.0,166.0,2.0,2.0,0.0
